"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Andromeda polifolia","Betula nana","Betula pubescens","Calluna vulgaris","Carex globularis","Deschampsia flexuosa","Empetrum nigrum","Epilobium angustifolium","Equisetum sylvaticum","Geranium sylvaticum","Juniperus communis","Ledum palustre","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Melampyrum pratense","Picea abies","Pinus sylvestris","Populus tremula","Rubus chamaemorus","Solidago virgaurea","Sorbus aucuparia","Trientalis europaea","Vaccinium microcarpon","Vaccinium myrtillus","Vaccinium uliginosum","Vaccinium vitis-idaea"
"plant_dec_1_NB_SampleID_42",487830,7365820,1985,716.740978240966,-2.46666665871938,200,-0.183333333333333,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_43",519820,7365820,1985,654.317649841309,-2.71666663885116,201,-0.183333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_44",551810,7365820,1985,668.432994842529,-2.97499988476435,208,-0.183333333333333,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"plant_dec_1_NB_SampleID_45",583790,7365820,1985,652.885915756226,-3.4833332101504,207,-0.183333333333333,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_46",519820,7366420,1985,654.317649841309,-2.71666663885116,201,-0.183333333333333,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_47",615780,7366420,1985,642.254895210266,-3.5750001569589,205,-0.183333333333333,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1
"plant_dec_1_NB_SampleID_48",519820,7367020,1985,673.511874198913,-2.72500003377597,202,-0.183333333333333,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_49",583790,7367020,1985,642.255160331726,-3.5083333949248,207,-0.183333333333333,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_50",615780,7367020,1985,618.193104743958,-3.70000004271667,210,-0.183333333333333,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_51",471840,7389810,1985,616.788453102111,-2.63333330551783,200,-0.183333333333333,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_52",503830,7389810,1985,683.121844291687,-2.82500014702478,202,-0.183333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_53",407870,7390410,1985,622.043493270874,-2.42499995231628,194,-0.183333333333333,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_54",439850,7390410,1985,635.593787193298,-2.19999996821086,197,-0.183333333333333,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_55",471840,7390410,1985,616.788453102111,-2.63333330551783,200,-0.183333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_56",503830,7390410,1985,683.121844291687,-2.82500014702478,202,-0.183333333333333,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_57",535810,7390410,1985,631.499094963073,-2.91666664679844,201,-0.183333333333333,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_58",567800,7390410,1985,606.406084060669,-3.33333350718022,209,-0.183333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_59",407870,7391010,1985,622.043493270874,-2.42499995231628,194,-0.183333333333333,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_60",471840,7391010,1985,616.788453102111,-2.63333330551783,200,-0.183333333333333,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_61",535810,7391010,1985,631.499094963073,-2.91666664679844,201,-0.183333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_62",423860,7413800,1985,641.41242313385,-2.5833334128062,195,-0.183333333333333,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_63",455850,7413800,1985,632.147945404053,-2.87499990065892,202,-0.183333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_64",487830,7413800,1985,642.322105407714,-2.95000008742015,202,-0.183333333333333,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_65",551810,7413800,1985,589.238198280335,-3.05833327770234,207,-0.183333333333333,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_66",583790,7413800,1985,549.980416297913,-3.49166658023992,209,-0.183333333333333,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"plant_dec_1_NB_SampleID_67",455850,7414400,1985,632.147945404053,-2.87499990065892,202,-0.183333333333333,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_68",487830,7414400,1985,642.322105407714,-2.95000008742015,202,-0.183333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_69",391870,7415000,1985,631.493120193481,-2.66666677594185,194,-0.183333333333333,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_70",423860,7415000,1985,641.41242313385,-2.5833334128062,195,-0.183333333333333,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_71",455850,7415000,1985,632.147945404053,-2.87499990065892,202,-0.183333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_72",375880,7437790,1985,618.784470558166,-3.1083333392938,203,-0.183333333333333,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_73",407870,7437790,1985,586.206467151642,-3.00833333532016,203,-0.183333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_74",439850,7437790,1985,606.430994987488,-3.07500000794729,204,-0.183333333333333,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_75",503830,7437790,1985,595.382522583008,-3.21666667858759,209,-0.183333333333333,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_76",567800,7437790,1985,585.26683139801,-3.40833335121472,224,-0.183333333333333,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_77",439850,7438390,1985,606.430994987488,-3.07500000794729,204,-0.183333333333333,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_78",567800,7438390,1985,585.26683139801,-3.40833335121472,224,-0.183333333333333,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_79",375880,7438990,1985,618.784470558166,-3.1083333392938,203,-0.183333333333333,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
