"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Capreolus capreolus","Felis catus","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_3_SB_SampleID_139",198670,6696520,2000,798.42391204834,7.23333319152394,43,0.206666666666667,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_140",410950,6696710,2002,691.684048652649,5.31666652982433,170,0.0391666666666667,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_SB_SampleID_141",408880,6697260,2002,724.191917896271,5.16666664245228,176,0.0391666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_SB_SampleID_142",408880,6697260,2003,630.405170917511,4.89166659116745,128,0.0975,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_SB_SampleID_143",383540,6697700,2007,838.036648750305,6.00833316147328,87,0.173333333333333,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1
"mammals_dec_3_SB_SampleID_144",389450,6697830,2002,621.636055469513,5.30833323796589,181,0.0391666666666667,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_SB_SampleID_145",246600,6698590,2000,938.265501022339,6.94999989370505,88,0.206666666666667,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_146",323830,6699720,2003,629.00933933258,4.87499989072482,125,0.0975,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1
"mammals_dec_3_SB_SampleID_147",425800,6700020,2006,658.814353942871,5.67499999205271,133,-0.2075,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
"mammals_dec_3_SB_SampleID_148",386800,6700250,2003,567.656948566437,4.94999996821085,129,0.0975,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_149",405420,6700270,2002,724.191917896271,5.16666664245228,176,0.0391666666666667,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1
